 Series|ISBN|ISBN 13|Primary Author|Author on Cover|Title|Subtitle|Original Language|Binding|Discount Type|Published Price|UK Price|Europe Price|Series|Page Count|Illustration Details|Format|Pub Year|BISAC|Territory|BISAC 1|BISAC 2|BISAC 3
18|067499020X|9780674990203|Propertius, |Propertius|Elegies||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|Index|4-1/4 x 6-3/8|1990|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
19|0674997166|9780674997165|Quintus Smyrnaeus, |Quintus Smyrnaeus|Posthomerica||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|768||4-1/4 x 6-3/8|2018|HISTORY / Ancient / Greece,HISTORY / Ancient / General,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|HIS002000|LIT004190
20|0674995570|9780674995574|Sophocles, |Sophocles|Ajax. Electra. Oedipus Tyrannus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|none|4-1/4 x 6-3/8|1994|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
21|0674995589|9780674995581|Sophocles, |Sophocles|Antigone. The Women of Trachis. Philoctetes. Oedipus at Colonus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|none|4-1/4 x 6-3/8|1994|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
22|067499597X|9780674995970|Terence, |Terence|The Woman of Andros. The Self-Tormentor. The Eunuch||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|none|4-1/4 x 6-3/8|2001|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
23|0674995988|9780674995987|Terence, |Terence|Phormio. The Mother-in-Law. The Brothers||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|384|none|4-1/4 x 6-3/8|2001|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
24|0674996070|9780674996076||Bart D. Ehrman|The Apostolic Fathers, Volume I: I Clement. II Clement. Ignatius. Polycarp. Didache||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464||4-1/4 x 6-3/8|2003|RELIGION / History,LITERARY CRITICISM / Ancient & Classical,RELIGION / Christianity / History|World|REL033000|LIT004190|REL015000
25|0674996089|9780674996083||Bart D. Ehrman|The Apostolic Fathers, Volume II: Epistle of Barnabas. Papias and Quadratus. Epistle to Diognetus. The Shepherd of Hermas||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|2003|RELIGION / History,LITERARY CRITICISM / Ancient & Classical,RELIGION / Christianity / History|World|REL033000|LIT004190|REL015000
26|0674996852|9780674996854|Augustine, |Augustine|Confessions, Volume I|Books 1–8|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480||4-1/4 x 6-3/8|2014|RELIGION / Philosophy,PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|REL051000|PHI002000|LIT004190
27|0674996933|9780674996939|Augustine, |Augustine|Confessions, Volume II|Books 9–13|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496||4-1/4 x 6-3/8|2016|RELIGION / Philosophy,PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|REL051000|PHI002000|LIT004190
28|0674996445|9780674996441|Theocritus, ,Moschus, ,Bion, |Theocritus, Moschus, and Bion; edited and translated by Neil Hopkinson|Theocritus. Moschus. Bion||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624||4-1/4 x 6-3/8|2015|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
29|0674990323|9780674990326|Julian, |Julian|Julian, Volume II|Orations 6–8. Letters to Themistius, To the Senate and People of Athens, To a Priest. The Caesars. Misopogon|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Index|4-1/4 x 6-3/8|1913|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
30|0674990331|9780674990333|Cicero, |Cicero|On Duties||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|448|Index|4-1/4 x 6-3/8|1913|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002020|LIT004190
31|0674995708|9780674995703|Suetonius, |Suetonius|Lives of the Caesars, Volume I|Julius. Augustus. Tiberius. Gaius. Caligula|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|2 genealogies|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
32|0674990366|9780674990364|Dio Cassius, |Dio Cassius|Roman History, Volume I|Books 1-11|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|none|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
33|0674996097|9780674996090|Horace, |Horace|Odes and Epodes||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|368|Index|4-1/4 x 6-3/8|2004|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
34|0674990382|9780674990388|John Damascene, |John Damascene|Barlaam and Ioasaph||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|688|Index|4-1/4 x 6-3/8|1914|LITERARY COLLECTIONS / Ancient & Classical,RELIGION / Christianity / History,RELIGION / Buddhism / History,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|REL015000|REL007010
35|0674990390|9780674990395|Tacitus, |Tacitus|Agricola. Germania. Dialogue on Oratory||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|384|2 maps, indexes|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
36|0674996879|9780674996878|Plato, |Plato|Euthyphro. Apology. Crito. Phaedo||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576||4-1/4 x 6-3/8|2017|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
37|0674990412|9780674990418|Dio Cassius, |Dio Cassius|Roman History, Volume II|Books 12-35|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Index to vols. 1-2|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
38|0674995651|9780674995659|Suetonius, |Suetonius|Lives of the Caesars, Volume II|Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. Poets (Terence. Virgil. Horace. Tibullus. Persius. Lucan). Lives of Pliny the Elder and Passienus Crispus|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|Index|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
39|0674997034|9780674997035|Caesar, |Caesar|Civil War||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464||4-1/4 x 6-3/8|2016|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
40|0674990447|9780674990449|Cicero, |Cicero|On Ends||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Index|4-1/4 x 6-3/8|1914|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002020|LIT004190
41|0674990455|9780674990456|Ovid, |Ovid|Heroides. Amores||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Index|4-1/4 x 6-3/8|1914|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
42|0674990463|9780674990463|Ovid, |Ovid|Metamorphoses, Volume I|Books 1-8|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|none|4-1/4 x 6-3/8|1916|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
43|0674990471|9780674990470|Ovid, |Ovid|Metamorphoses, Volume II|Books 9-15|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1916|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
44|0674990498|9780674990494|Apuleius, |Apuleius|Metamorphoses (The Golden Ass), Volume I|Books 1-6|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|336|none|4-1/4 x 6-3/8|1996|LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|LIT004190|
45|0674990501|9780674990500|Achilles Tatius, |Achilles Tatius|Leucippe and Clitophon||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|Index|4-1/4 x 6-3/8|1969|LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|LIT004190|
46|0674990528|9780674990524|Plutarch, |Plutarch|Lives, Volume I|Theseus and Romulus. Lycurgus and Numa. Solon and Publicola|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|Index|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
47|0674990536|9780674990531|Plutarch, |Plutarch|Lives, Volume II|Themistocles and Camillus. Aristides and Cato Major. Cimon and Lucullus|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|640|Index|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
48|0674990544|9780674990548|Procopius, |Procopius|History of the Wars, Volume I|Books 1-2. (Persian War)|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|Index|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
49|0674990552|9780674990555|Strabo, |Strabo|Geography, Volume I|Books 1-2|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|1 map, index|4-1/4 x 6-3/8|1917|HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS052000|HIS002010|LIT004190
50|0674990560|9780674990562|Strabo, |Strabo|Geography, Volume II|Books 3-5|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|3 maps, index|4-1/4 x 6-3/8|1923|HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS052000|HIS002010|LIT004190
51|0674990579|9780674990579|Xenophon, |Xenophon|Cyropaedia, Volume I|Books 1-4|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416|none|4-1/4 x 6-3/8|1914|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002010|LIT004190
52|0674990587|9780674990586|Xenophon, |Xenophon|Cyropaedia, Volume II|Books 5-8|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1914|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002010|LIT004190
53|0674990595|9780674990593|Dio Cassius, |Dio Cassius|Roman History, Volume III|Books 36-40|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Index|4-1/4 x 6-3/8|1914|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
54|0674990609|9780674990609|Lucian, |Lucian|The Downward Journey or The Tyrant. Zeus Catechized. Zeus Rants. The Dream or The Cock. Prometheus.  Icaromenippus or The Sky-man. Timon or The Misanthrope. Charon or The Inspectors. Philosophies for Sale||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Index|4-1/4 x 6-3/8|1915|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
55|0674990617|9780674990616|Pliny the Younger, |Pliny the Younger|Letters, Volume I: Books 1-7||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|1 map|4-1/4 x 6-3/8|1969|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
56|0674995643|9780674995642|Pindar, |Pindar|Olympian Odes. Pythian Odes||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416|none|4-1/4 x 6-3/8|1997|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
57|0674997204|9780674997202|Hesiod, |Hesiod|Theogony. Works and Days. Testimonia||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416||4-1/4 x 6-3/8|2018|LITERARY CRITICISM / Ancient & Classical,POETRY / General,SOCIAL SCIENCE / Folklore & Mythology|World|LIT004190|POE000000|SOC011000
58|0674990641|9780674990647|Marcus Aurelius, |Marcus Aurelius|Marcus Aurelius||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|448|Indexes|4-1/4 x 6-3/8|1916|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
59|0674990668|9780674990661|Pliny the Younger, |Pliny the Younger|Letters, Volume II: Books 8-10. Panegyricus||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|1 map, 1 line illustration, index|4-1/4 x 6-3/8|1969|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
60|0674996534|9780674996533|Plautus, |Plautus|Amphitryon. The Comedy of Asses. The Pot of Gold. The Two Bacchises. The Captives||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|768||4-1/4 x 6-3/8|2011|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
61|067499678X|9780674996786|Plautus, |Plautus|Casina. The Casket Comedy. Curculio. Epidicus. The Two Menaechmuses||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576||4-1/4 x 6-3/8|2011|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
62|0674997174|9780674997172|Seneca, |Seneca|Tragedies, Volume I|Hercules. Trojan Women. Phoenician Women. Medea. Phaedra|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|none|4-1/4 x 6-3/8|2018|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
63|067499583X|9780674995833|Virgil, |Virgil|Eclogues. Georgics. Aeneid: Books 1-6||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|none|4-1/4 x 6-3/8|1999|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
