 Series|ISBN|ISBN 13|Primary Author|Author on Cover|Title|Subtitle|Original Language|Binding|Discount Type|Published Price|UK Price|Europe Price|Series|Page Count|Illustration Details|Format|Pub Year|BISAC|Territory|BISAC 1|BISAC 2|BISAC 3
140|0674991559|9780674991552||David Magie|Historia Augusta, Volume II: Caracalla. Geta. Opellius Macrinus. Diadumenianus. Elagabalus. Severus Alexander. The Two Maximini. The Three Gordians. Maximus and Balbinus||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|none|4-1/4 x 6-3/8|1924|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
141|0674991567|9780674991569|Cicero, |Cicero|Tusculan Disputations||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624|Index|4-1/4 x 6-3/8|1927|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002020|LIT004190
142|0674991575|9780674991576|Sappho, ,Alcaeus, |Sappho and Alcaeus; edited and translated by David A. Campbell|Greek Lyric, Volume I: Sappho and Alcaeus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1982|POETRY / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|POE008000|HIS002010|LIT004190
143|0674991583|9780674991583|Anacreon, |David A. Campbell|Greek Lyric, Volume II: Anacreon, Anacreontea, Choral Lyric from Olympus to Alcman||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|Index|4-1/4 x 6-3/8|1988|POETRY / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|POE008000|HIS002010|LIT004190
144|0674995597|9780674995598||David A. Campbell|Greek Lyric, Volume V: The New School of Poetry and Anonymous Songs and Hymns||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1993|POETRY / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|POE008000|HIS002010|LIT004190
145|0674996275|9780674996274|Aeschylus, |Aeschylus|Persians. Seven against Thebes. Suppliants. Prometheus Bound||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624|Index|4-1/4 x 6-3/8|2009|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
146|0674996283|9780674996281|Aeschylus, |Aeschylus|Oresteia: Agamemnon. Libation-Bearers. Eumenides||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Index|4-1/4 x 6-3/8|2009|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
147|0674991621|9780674991620|Hippocrates, |Hippocrates|Ancient Medicine. Airs, Waters, Places. Epidemics 1 and 3. The Oath. Precepts. Nutriment||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|432|none|4-1/4 x 6-3/8|1923|MEDICAL / History,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical,SCIENCE / History|World|MED039000|HIS002010|LIT004190
148|0674991648|9780674991644|Hippocrates, |Hippocrates|Prognostic. Regimen in Acute Diseases. The Sacred Disease. The Art. Breaths. Law. Decorum. Physician (Ch. 1). Dentition||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416|none|4-1/4 x 6-3/8|1923|MEDICAL / History,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical,SCIENCE / History|World|MED039000|HIS002010|LIT004190
149|0674991656|9780674991651|Hippocrates, |Hippocrates|On Wounds in the Head. In the Surgery. On Fractures. On Joints. Mochlicon||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|1 line illustration|4-1/4 x 6-3/8|1928|MEDICAL / History,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical,SCIENCE / History|World|MED039000|HIS002010|LIT004190
150|0674991664|9780674991668|Hippocrates, ,Heracleitus, |Hippocrates and Heracleitus|Nature of Man. Regimen in Health. Humours. Aphorisms. Regimen 1-3. Dreams. Heracleitus: On the Universe||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|General index|4-1/4 x 6-3/8|1931|MEDICAL / History,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical,SCIENCE / History|World|MED039000|HIS002010|LIT004190
151|0674991672|9780674991675|Ovid, |Ovid|Tristia. Ex Ponto||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|Index|4-1/4 x 6-3/8|1924|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
152|0674991680|9780674991682|Velleius Paterculus, |Velleius Paterculus|Compendium of Roman History. Res Gestae Divi Augusti||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|Index|4-1/4 x 6-3/8|1924|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
153|0674991699|9780674991699|Eusebius, |Eusebius|Ecclesiastical History, Volume I|Books 1-5|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|none|4-1/4 x 6-3/8|1926|LITERARY CRITICISM / Ancient & Classical,RELIGION / Christianity / History|World|LIT004190|REL015000|
154|0674991702|9780674991705|Cicero, |Cicero|On Old Age. On Friendship. On Divination||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|Indexes|4-1/4 x 6-3/8|1923|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002020|LIT004190
155|0674991710|9780674991712|Demosthenes, |Demosthenes|Orations, Volume II|Orations 18-19: De Corona, De Falsa Legatione|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1926|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
156|0674991729|9780674991729|Aeneas Tacticus, ,Asclepiodotus, ,Onasander, |Aeneas Tacticus, Asclepiodotus, and Onasander|Aeneas Tacticus, Asclepiodotus, and Onasander||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Index|4-1/4 x 6-3/8|1923|LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece,HISTORY / Military / General|World|LIT004190|HIS002010|HIS027000
157|0674991737|9780674991736|Julian, |Julian|Julian, Volume III|Letters. Epigrams. Against the Galilaeans. Fragments|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|6 tables, index|4-1/4 x 6-3/8|1923|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
158|0674991745|9780674991743|Cicero, |Cicero|Pro Archia. Post Reditum in Senatu. Post Reditum ad Quirites. De Domo Sua. De Haruspicum Responsis. Pro Plancio||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|Index|4-1/4 x 6-3/8|1923|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
159|0674996593|9780674996595|Polybius, |Polybius|The Histories, Volume IV|Books 9-15|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|640||4-1/4 x 6-3/8|2011|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
160|0674996607|9780674996601|Polybius, |Polybius|The Histories, Volume V|Books 16-27|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624||4-1/4 x 6-3/8|2012|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
161|0674996615|9780674996618|Polybius, |Polybius|The Histories, Volume VI|Books 28-39. Fragments|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|640||4-1/4 x 6-3/8|2012|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
162|0674991796|9780674991798|Lucian, |Lucian|Anacharsis or Athletics. Menippus or The Descent into Hades. On Funerals. A Professor of Public Speaking. Alexander the False Prophet. Essays in Portraiture. Essays in Portraiture Defended. The Goddesse of Surrye||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|432|Index|4-1/4 x 6-3/8|1925|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
163|0674996828|9780674996823|Plautus, |Plautus|The Merchant. The Braggart Soldier. The Ghost. The Persian||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592||4-1/4 x 6-3/8|2011|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
164|0674991826|9780674991828|Plato, |Plato|Statesman. Philebus. Ion||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|Index|4-1/4 x 6-3/8|1925|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
165|0674991834|9780674991835|Plato, |Plato|Laches. Protagoras. Meno. Euthydemus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Index|4-1/4 x 6-3/8|1924|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
166|0674991842|9780674991842|Plato, |Plato|Lysis. Symposium. Gorgias||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|Index|4-1/4 x 6-3/8|1925|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
167|0674991850|9780674991859|Plato, |Plato|Cratylus. Parmenides. Greater Hippias. Lesser Hippias||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1926|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
168|067499695X|9780674996953|Xenophon, |Xenophon|Memorabilia. Oeconomicus. Symposium. Apology||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|720||4-1/4 x 6-3/8|2013|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002010|LIT004190
169|0674991877|9780674991873|Thucydides, |Thucydides|History of the Peloponnesian War, Volume IV|Books 7-8. General Index|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|5 maps|4-1/4 x 6-3/8|1923|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
170|0674995791|9780674995796|Homer, |Homer|Iliad, Volume I|Books 1-12|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|none|4-1/4 x 6-3/8|1924|LITERARY CRITICISM / Ancient & Classical,LITERARY CRITICISM / Poetry,HISTORY / Ancient / Greece|World|LIT004190|LIT014000|HIS002010
171|0674995805|9780674995802|Homer, |Homer|Iliad, Volume II|Books 13-24|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|672|Index|4-1/4 x 6-3/8|1925|LITERARY CRITICISM / Ancient & Classical,LITERARY CRITICISM / Poetry,HISTORY / Ancient / Greece|World|LIT004190|LIT014000|HIS002010
172|0674991907|9780674991903|Livy, |Livy|History of Rome, Volume III|Books 5-7|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|3 maps on 1 insert, index|4-1/4 x 6-3/8|1924|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
173|0674991915|9780674991910|Procopius, |Procopius|History of the Wars, Volume IV|Books 6.16-7.35. (Gothic War)|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|1 map, index|4-1/4 x 6-3/8|1924|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
174|0674991923|9780674991927|Frontinus, |Frontinus|Stratagems. Aqueducts of Rome||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|3 maps, 4 halftones, 4 tables, index|4-1/4 x 6-3/8|1925|HISTORY / Ancient / Rome,HISTORY / Military / General,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|HIS027000|LIT004190
175|0674991931|9780674991934|Dio Cassius, |Dio Cassius|Roman History, Volume VII|Books 56-60|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|Index|4-1/4 x 6-3/8|1924|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
176|0674991958|9780674991958|Dio Cassius, |Dio Cassius|Roman History, Volume VIII|Books 61-70|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1925|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
177|0674991966|9780674991965|Dio Cassius, |Dio Cassius|Roman History, Volume IX|Books 71-80|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|General index|4-1/4 x 6-3/8|1927|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
178|0674995678|9780674995673|Aristophanes, |Aristophanes|Acharnians. Knights||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416|Index|4-1/4 x 6-3/8|1998|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
179|0674995872|9780674995871|Aristophanes, |Aristophanes|Birds. Lysistrata. Women at the Thesmophoria||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624|Index|4-1/4 x 6-3/8|2000|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
180|0674995961|9780674995963|Aristophanes, |Aristophanes|Frogs. Assemblywomen. Wealth||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|608|Index|4-1/4 x 6-3/8|2002|DRAMA / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|LIT004190|
181|0674992008|9780674992009|Lucretius, |Lucretius|On the Nature of Things||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|672|Index|4-1/4 x 6-3/8|1924|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
182|0674992016|9780674992016|Strabo, |Strabo|Geography, Volume III|Books 6-7|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|416|2 maps, index|4-1/4 x 6-3/8|1924|HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS052000|HIS002010|LIT004190
183|0674992024|9780674992023|Xenophon, |Xenophon|Hiero. Agesilaus. Constitution of the Lacedaemonians. Ways and Means. Cavalry Commander. Art of Horsemanship. On Hunting. Constitution of the Athenians||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|Index|4-1/4 x 6-3/8|1925|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002010|LIT004190
184|0674992032|9780674992030|Diogenes Laertius, |Diogenes Laertius|Lives of Eminent Philosophers, Volume I|Books 1-5|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|none|4-1/4 x 6-3/8|1925|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
185|0674992040|9780674992047|Diogenes Laertius, |Diogenes Laertius|Lives of Eminent Philosophers, Volume II|Books 6-10|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|720|Indexes|4-1/4 x 6-3/8|1925|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
186|0674992059|9780674992054|Josephus, |Josephus|The Life. Against Apion||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|448|1 map, indexes|4-1/4 x 6-3/8|1926|HISTORY / Ancient / Rome,HISTORY / Jewish,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|HIS022000|LIT004190
187|0674992067|9780674992061|Plato, |Plato|Laws, Volume I|Books 1-6|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|none|4-1/4 x 6-3/8|1926|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
188|0674992075|9780674992078|Pausanias, |Pausanias|Description of Greece, Volume II|Books 3-5  (Laconia, Messenia, Elis 1)|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|none|4-1/4 x 6-3/8|1926|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
189|0674996348|9780674996342|Cicero, |Cicero|Philippics 1-6||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|400|3 maps|4-1/4 x 6-3/8|2010|LITERARY COLLECTIONS / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|HIS002020|LIT004190
190|0674992091|9780674992092|Basil, |Basil|Letters, Volume I: Letters 1-58||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|432|Index|4-1/4 x 6-3/8|1926|HISTORY / Ancient / Greece,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|REL015000|LIT004190
191|0674992105|9780674992108|Livy, |Livy|History of Rome, Volume IV|Books 8-10|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|2 maps, index|4-1/4 x 6-3/8|1926|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
192|0674992113|9780674992115|Plato, |Plato|Laws, Volume II|Books 7-12|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|Index|4-1/4 x 6-3/8|1926|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
193|0674992121|9780674992122|Aristotle, |Aristotle|Art of Rhetoric||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Glossary, indexes|4-1/4 x 6-3/8|1926|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
194|0674992148|9780674992146|Horace, |Horace|Satires. Epistles. The Art of Poetry||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Indexes|4-1/4 x 6-3/8|1926|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
195|0674992156|9780674992153|Gellius, |Gellius|Attic Nights, Volume I|Books 1-5|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|Indexes|4-1/4 x 6-3/8|1927|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
196|0674992164|9780674992160|Strabo, |Strabo|Geography, Volume IV|Books 8-9|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|3 maps, index|4-1/4 x 6-3/8|1927|HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS052000|HIS002010|LIT004190
197|0674992172|9780674992177|Plutarch, |Plutarch|Moralia, Volume I|The Education of Children. How the Young Man Should Study Poetry. On Listening to Lectures. How to Tell a Flatterer from a Friend. How a Man May Become Aware of His Progress in Virtue|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1927|HISTORY / Ancient / Greece,PHILOSOPHY / Ethics & Moral Philosophy,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|PHI005000|LIT004190
198|0674992180|9780674992184|Cicero, |Cicero|Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio Perduellionis Reo||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|4 tables, index|4-1/4 x 6-3/8|1927|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
199|0674995635|9780674995635|Aristotle, ,Longinus, ,Demetrius, |Aristotle, Longinus, and Demetrius|Poetics. Longinus: On the Sublime. Demetrius: On Style||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Indexes|4-1/4 x 6-3/8|1995|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
200|0674992202|9780674992207|Gellius, |Gellius|Attic Nights, Volume II|Books 6-13|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|576|Indexes|4-1/4 x 6-3/8|1927|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
201|0674992210|9780674992214|Plato, |Plato|Charmides. Alcibiades I and II. Hipparchus. The Lovers. Theages. Minos. Epinomis||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1927|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
202|0674992229|9780674992221|Isaeus, |Isaeus|Isaeus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|Index|4-1/4 x 6-3/8|1927|HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|LIT004190|
203|0674995686|9780674995680|Josephus, |Josephus|The Jewish War, Volume I|Books 1-2|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624|3 maps, 1 genealogical chart on insert|4-1/4 x 6-3/8|1927|HISTORY / Ancient / Rome,HISTORY / Jewish,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|HIS022000|LIT004190
204|0674996208|9780674996205|Athenaeus, |Athenaeus|The Learned Banqueters, Volume I: Books 1-3.106e||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|624|Index|4-1/4 x 6-3/8|2007|LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece|World|LIT004190|HIS002010|
205|0674995880|9780674995888|Cicero, |Cicero|Letters to Friends, Volume I|Letters 1-113|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|512|none|4-1/4 x 6-3/8|2001|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
206|0674996909|9780674996908|Statius, |Statius|Silvae||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464||4-1/4 x 6-3/8|2015|POETRY / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|POE008000|LIT004190|
207|0674012089|9780674012080|Statius, |Statius|Thebaid, Volume I|Books 1-7|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|none|4-1/4 x 6-3/8|2004|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
208|0674996216|9780674996212|Athenaeus, |Athenaeus|The Learned Banqueters, Volume II: Books 3.106e-5||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|592|Index|4-1/4 x 6-3/8|2007|LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece|World|LIT004190|HIS002010|
209|0674992318|9780674992313|Isocrates, |Isocrates|To Demonicus. To Nicocles. Nicocles or the Cyprians. Panegyricus. To Philip. Archidamus||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|none|4-1/4 x 6-3/8|1928|LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece|World|LIT004190|HIS002010|
210|0674995694|9780674995697|Josephus, |Josephus|The Jewish War, Volume III|Books 5-7|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1928|HISTORY / Ancient / Rome,HISTORY / Jewish,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|HIS022000|LIT004190
211|0674992334|9780674992337|Strabo, |Strabo|Geography, Volume V|Books 10-12|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|560|2 maps, index|4-1/4 x 6-3/8|1928|HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|HIS052000|HIS002010|LIT004190
212|0674992342|9780674992344|Gellius, |Gellius|Attic Nights, Volume III|Books 14-20|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Indexes|4-1/4 x 6-3/8|1927|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
213|0674992350|9780674992351|Cicero, |Cicero|On the Republic. On the Laws||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|Index|4-1/4 x 6-3/8|1928|PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|HIS002020|LIT004190
214|0674992369|9780674992368|Seneca, |Seneca|Moral Essays, Volume I|De Providentia. De Constantia. De Ira. De Clementia|Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|480|Index|4-1/4 x 6-3/8|1928|PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical|World|PHI002000|LIT004190|
215|0674992377|9780674992375|Basil, |Basil|Letters, Volume II: Letters 59-185||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|496|Index|4-1/4 x 6-3/8|1928|HISTORY / Ancient / Greece,RELIGION / Christianity / History,LITERARY CRITICISM / Ancient & Classical|World|HIS002010|REL015000|LIT004190
